Configuration,Run,Fitness,Evaluations,Runtime,Error
HC_Standard,1,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
HC_Standard,2,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
HC_Standard,3,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
HC_Gray,1,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
HC_Gray,2,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
HC_Gray,3,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
SA_Standard,1,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
SA_Standard,2,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
SA_Standard,3,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
SA_Gray,1,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
SA_Gray,2,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
SA_Gray,3,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Tournament_OnePoint,1,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Tournament_OnePoint,2,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Tournament_OnePoint,3,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Tournament_OnePoint_Gray,1,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Tournament_OnePoint_Gray,2,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Tournament_OnePoint_Gray,3,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Tournament_TwoPoint,1,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Tournament_TwoPoint,2,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Tournament_TwoPoint,3,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Tournament_TwoPoint_Gray,1,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Tournament_TwoPoint_Gray,2,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Tournament_TwoPoint_Gray,3,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Rank_Uniform,1,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Rank_Uniform,2,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Rank_Uniform,3,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Rank_Uniform_Gray,1,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Rank_Uniform_Gray,2,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Rank_Uniform_Gray,3,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Boltzmann_TwoPoint,1,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Boltzmann_TwoPoint,2,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Boltzmann_TwoPoint,3,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Boltzmann_TwoPoint_Gray,1,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Boltzmann_TwoPoint_Gray,2,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Boltzmann_TwoPoint_Gray,3,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Hybrid,1,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Hybrid,2,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Hybrid,3,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Hybrid_Gray,1,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Hybrid_Gray,2,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
GA_Hybrid_Gray,3,inf,0,0,"int() argument must be a string, a bytes-like object or a real number, not 'dict'"
